segment_id,segment_start,segment_end,event_index_in_segment,event_global_index,start_frame,end_frame,duration_frames,peak_amplitude,rise90_frame,fall90_frame
0,19,188,0,0,29,35,7,0.08163478316632648,32,34
0,19,188,1,1,38,45,8,0.08232710270993443,42,43
0,19,188,2,2,48,53,6,0.08124227727929914,51,52
0,19,188,3,3,57,62,6,0.08989184379747447,60,61
0,19,188,4,4,66,72,7,0.08392402723962893,68,71
0,19,188,5,5,75,81,7,0.08475482924568432,78,80
0,19,188,6,6,85,90,6,0.07871111618377571,87,89
0,19,188,7,7,94,100,7,0.0929229042674411,98,99
0,19,188,8,8,104,110,7,0.09266012375872418,107,109
0,19,188,9,9,114,122,9,0.06885029473588336,116,119
0,19,188,10,10,126,132,7,0.06945953851948014,131,132
0,19,188,11,11,137,142,6,0.0852060956906739,139,141
0,19,188,12,12,145,151,7,0.08816703332549236,148,149
0,19,188,13,13,155,160,6,0.08872112323357238,157,159
0,19,188,14,14,164,169,6,0.08431626335276007,167,167
0,19,188,15,15,173,179,7,0.07775745428891229,175,176
0,19,188,16,16,182,186,5,0.07656933918197711,184,185
